Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,24,1,17.0,0,0,1,32434.0,152.0,95,0
0,63,1,28.0,0,2,1,46043.0,26.0,255,0
0,47,1,26.0,0,1,1,37180.0,124.0,237,0
1,48,1,46.0,0,1,1,17980.0,26.0,46,0
1,45,1,28.0,0,1,1,38004.0,26.0,201,1
1,24,1,14.0,1,0,0,2630.0,152.0,136,0
1,43,1,28.0,0,1,1,37219.0,124.0,240,0
1,31,1,26.0,1,0,1,2630.0,152.0,113,0
1,21,1,6.0,0,0,1,19531.0,160.0,37,0
1,63,1,28.0,0,1,0,32523.0,26.0,221,0
0,22,1,30.0,1,0,0,30724.0,152.0,271,0
1,24,1,17.0,1,0,0,41390.0,152.0,247,0
1,24,1,41.0,1,0,0,29867.0,152.0,92,0
0,24,1,21.0,1,0,0,2630.0,152.0,10,0
1,54,1,28.0,0,2,1,42095.0,26.0,288,0
1,52,1,33.0,1,1,1,54475.0,124.0,32,0
0,44,1,46.0,0,1,1,31789.0,124.0,130,0
1,74,1,28.0,0,2,1,79476.0,124.0,296,0
1,63,1,41.0,0,1,1,35673.0,124.0,210,0
0,24,1,28.0,1,0,0,23373.0,152.0,151,0
1,24,1,6.0,1,0,0,25102.0,152.0,219,0
1,40,1,35.0,0,1,1,2630.0,26.0,285,1
0,22,1,29.0,1,0,0,19782.0,152.0,228,0
0,20,1,36.0,0,0,1,73381.0,160.0,254,0
0,23,1,2.0,0,0,1,2630.0,152.0,194,0
1,22,1,15.0,1,0,0,42129.0,152.0,112,0
0,20,1,15.0,0,0,1,34874.0,160.0,55,0
1,40,1,35.0,1,1,0,27588.0,26.0,255,0
0,22,1,46.0,1,0,0,181076.0,152.0,239,0
1,54,1,50.0,0,1,1,36288.0,124.0,150,0
1,24,1,49.0,1,0,0,2630.0,160.0,74,0
1,58,1,11.0,0,1,1,27968.0,163.0,68,0
0,27,1,3.0,1,0,0,26444.0,152.0,291,0
1,26,1,28.0,1,0,0,42027.0,152.0,19,0
0,23,1,30.0,1,0,0,2630.0,152.0,189,0
1,77,1,37.0,1,1,0,24418.0,26.0,165,0
1,42,1,28.0,0,1,1,60920.0,124.0,224,0
1,77,1,1.0,0,1,1,2630.0,26.0,139,0
0,22,1,29.0,1,0,0,32262.0,152.0,295,0
0,56,1,28.0,0,1,0,40301.0,124.0,285,0
1,26,1,15.0,1,0,0,35827.0,152.0,286,0
1,27,1,35.0,1,0,0,29493.0,152.0,240,0
1,54,1,19.0,0,1,1,34732.0,124.0,136,0
1,44,1,28.0,1,1,0,2630.0,26.0,68,0
1,24,1,6.0,1,0,0,20132.0,152.0,98,0
0,62,1,13.0,0,1,1,35750.0,152.0,55,0
0,76,1,8.0,0,1,1,63344.0,122.0,203,0
1,34,1,1.0,1,1,0,2630.0,124.0,245,0
0,26,1,28.0,1,0,0,38035.0,156.0,290,0
1,25,1,28.0,1,0,0,40542.0,152.0,284,0
1,53,1,8.0,1,1,0,32122.0,160.0,201,0
0,25,1,7.0,1,0,0,39585.0,152.0,171,0
1,24,1,29.0,1,0,0,41554.0,152.0,241,0
0,41,1,28.0,0,1,1,38068.0,124.0,182,0
1,56,1,28.0,0,1,1,35720.0,26.0,10,1
1,22,1,9.0,0,0,1,2630.0,152.0,84,0
1,27,1,21.0,1,0,0,31664.0,152.0,112,0
0,73,1,48.0,1,1,1,2630.0,156.0,85,0
0,24,1,36.0,1,0,0,42859.0,152.0,66,0
1,75,1,41.0,0,2,1,35186.0,124.0,224,0
1,51,1,3.0,0,1,1,16475.0,154.0,140,1
1,75,1,33.0,1,1,1,39293.0,26.0,280,0
1,66,1,35.0,1,1,0,34206.0,124.0,43,0
0,24,1,45.0,1,0,0,32305.0,152.0,166,0
1,25,1,37.0,0,0,1,27672.0,152.0,256,0
0,50,1,28.0,0,1,1,29764.0,124.0,264,0
0,53,1,32.0,1,1,0,2630.0,124.0,169,0
0,22,1,47.0,1,0,0,24080.0,160.0,151,0
0,35,1,46.0,0,1,0,2630.0,156.0,182,0
1,29,1,6.0,1,0,0,31518.0,152.0,168,0
1,74,1,28.0,1,1,0,32524.0,124.0,271,0
1,39,1,46.0,1,1,0,42307.0,30.0,118,0
1,60,1,28.0,1,1,0,35802.0,26.0,174,0
0,32,1,21.0,1,0,0,2630.0,152.0,91,0
1,47,1,21.0,1,1,0,30950.0,124.0,294,0
1,42,1,41.0,0,1,1,2630.0,124.0,207,0
1,57,1,28.0,0,2,1,29002.0,124.0,182,0
0,21,1,3.0,0,0,0,21100.0,152.0,175,0
0,26,1,15.0,0,0,1,30419.0,152.0,70,0
1,47,1,28.0,1,1,0,41368.0,26.0,18,0
1,25,1,39.0,1,0,0,29969.0,160.0,10,0
0,33,1,36.0,0,1,1,25533.0,156.0,61,0
0,22,1,29.0,1,0,0,35035.0,152.0,94,0
1,45,1,30.0,1,1,0,36522.0,26.0,253,0
0,21,1,23.0,1,0,0,2630.0,152.0,24,0
0,25,1,11.0,1,0,0,22639.0,152.0,14,0
1,25,1,8.0,1,0,0,34267.0,152.0,292,0
0,26,1,8.0,1,0,0,38911.0,152.0,267,0
1,34,1,46.0,0,1,1,30652.0,124.0,153,0
0,46,1,28.0,0,1,1,83683.0,26.0,200,0
1,64,1,29.0,0,2,1,45795.0,3.0,196,0
1,45,1,28.0,1,1,0,29584.0,26.0,109,0
0,24,1,8.0,1,0,0,34225.0,151.0,184,0
1,29,1,30.0,1,0,0,23752.0,152.0,68,0
0,29,1,11.0,1,0,0,31024.0,152.0,11,0
1,25,1,8.0,1,0,0,47474.0,152.0,36,0
1,23,1,8.0,1,0,0,70431.0,152.0,113,0
0,71,1,28.0,0,1,1,45958.0,26.0,216,0
0,38,1,15.0,0,1,1,40778.0,124.0,35,0
1,55,1,41.0,1,1,1,25706.0,26.0,153,0
1,45,1,8.0,1,1,0,2630.0,25.0,147,0
1,53,1,30.0,0,1,1,24691.0,29.0,76,0
0,40,1,7.0,0,1,1,2630.0,124.0,231,0
0,27,1,21.0,1,0,0,29471.0,152.0,185,0
0,22,1,47.0,1,0,1,28547.0,152.0,133,0
1,26,1,27.0,1,0,0,23478.0,26.0,100,0
0,25,1,6.0,1,0,0,29648.0,152.0,297,0
1,39,1,18.0,0,1,1,29701.0,26.0,294,0
0,28,1,47.0,1,0,0,36060.0,152.0,68,0
0,23,1,15.0,1,0,0,28781.0,160.0,105,0
1,54,1,1.0,1,1,0,2630.0,113.0,94,0
1,83,0,8.0,1,1,1,2630.0,26.0,190,0
1,24,1,28.0,1,0,0,48885.0,152.0,27,0
0,24,1,17.0,1,0,0,29553.0,160.0,129,0
1,33,1,3.0,1,0,0,2630.0,160.0,190,0
1,26,1,17.0,1,0,0,33565.0,152.0,246,0
1,57,1,3.0,0,1,0,29396.0,116.0,88,0
1,25,1,46.0,1,0,0,41174.0,152.0,271,0
0,21,1,46.0,1,0,0,25252.0,160.0,63,0
1,42,1,8.0,1,1,0,44533.0,7.0,105,0
1,69,1,28.0,0,1,1,24069.0,157.0,126,0
0,48,1,38.0,0,1,1,28127.0,124.0,86,0
0,26,1,2.0,1,0,0,36263.0,152.0,174,0
1,53,1,12.0,0,1,1,30033.0,124.0,48,0
0,28,1,42.0,0,0,0,27723.0,152.0,94,0
0,26,1,12.0,1,0,0,22451.0,26.0,84,0
0,44,1,3.0,0,1,1,28223.0,124.0,250,0
0,27,1,50.0,1,0,0,38511.0,152.0,293,0
0,25,1,8.0,1,0,0,78899.0,152.0,216,0
0,24,1,39.0,1,0,0,27926.0,152.0,136,0
1,66,1,8.0,1,1,0,42293.0,26.0,235,0
1,49,1,35.0,1,1,0,23886.0,26.0,47,0
0,24,1,10.0,0,0,1,18426.0,152.0,100,0
1,38,1,28.0,0,1,1,37356.0,124.0,292,0
0,80,1,28.0,0,1,1,47217.0,150.0,181,0
1,61,1,15.0,0,2,1,38636.0,124.0,125,0
0,22,1,34.0,0,0,1,30966.0,152.0,213,0
1,57,1,28.0,0,1,0,29370.0,26.0,176,0
0,28,1,28.0,1,0,0,33922.0,152.0,248,0
1,41,1,8.0,0,1,1,27927.0,26.0,229,0
0,23,1,46.0,1,0,0,26675.0,152.0,222,0
1,27,1,29.0,1,0,0,2630.0,160.0,74,0
0,54,1,38.0,0,1,1,28675.0,124.0,188,0
1,24,1,8.0,0,0,1,34865.0,152.0,107,0
0,24,1,28.0,1,0,0,33812.0,152.0,66,0
1,52,1,28.0,0,1,1,35017.0,124.0,41,0
0,52,1,8.0,1,1,0,56493.0,26.0,214,0
1,54,1,11.0,0,1,1,2630.0,124.0,153,0
1,21,1,17.0,1,0,0,31950.0,160.0,134,0
1,28,1,46.0,0,0,1,2630.0,156.0,166,0
0,25,1,24.0,1,0,0,24114.0,152.0,17,0
1,51,1,28.0,0,1,1,71352.0,122.0,290,0
1,26,1,13.0,0,0,1,33165.0,152.0,218,0
1,30,1,8.0,0,1,1,26758.0,26.0,68,0
1,24,1,36.0,0,0,0,2630.0,152.0,168,0
1,28,1,50.0,1,0,0,33940.0,152.0,209,0
1,33,1,3.0,1,0,0,20211.0,152.0,172,0
0,69,1,28.0,1,1,0,28379.0,26.0,268,0
1,72,1,28.0,1,1,0,42153.0,139.0,262,0
0,27,1,35.0,1,0,0,23978.0,152.0,184,0
0,70,1,28.0,0,1,1,40363.0,13.0,50,0
0,20,1,15.0,1,0,1,29209.0,160.0,270,0
0,22,1,30.0,0,0,1,31947.0,152.0,294,0
1,21,1,29.0,1,0,0,38412.0,152.0,176,0
1,40,1,37.0,1,1,0,2630.0,152.0,135,0
0,43,1,30.0,1,1,1,2630.0,157.0,138,0
1,37,1,28.0,1,1,0,37681.0,124.0,188,0
1,23,1,6.0,1,0,0,38104.0,152.0,65,0
0,50,1,28.0,0,0,0,2630.0,1.0,149,0
1,27,1,8.0,1,0,0,35330.0,152.0,282,0
1,54,1,20.0,1,1,0,2630.0,124.0,232,0
0,43,1,10.0,1,1,0,19658.0,26.0,296,0
0,21,1,46.0,0,0,1,37793.0,26.0,258,0
1,50,1,30.0,1,1,0,2630.0,26.0,84,0
0,24,1,29.0,0,1,1,24979.0,124.0,229,0
0,28,1,50.0,1,0,0,60081.0,152.0,194,0
1,22,1,24.0,0,1,1,26228.0,124.0,178,0
0,21,1,8.0,0,0,1,45222.0,152.0,158,0
1,51,1,28.0,0,1,1,36589.0,122.0,144,0
0,27,1,6.0,1,0,0,2630.0,152.0,17,0
0,22,1,13.0,1,0,0,31918.0,152.0,207,0
0,42,1,28.0,1,1,0,48615.0,124.0,290,0
1,23,1,46.0,1,0,0,26468.0,152.0,159,0
0,23,1,17.0,0,0,1,37889.0,152.0,202,0
0,23,1,44.0,1,0,0,28978.0,152.0,242,0
0,27,1,41.0,1,0,0,36352.0,152.0,174,0
1,23,1,30.0,1,0,0,31578.0,152.0,159,0
1,47,1,28.0,0,1,1,50577.0,122.0,233,0
0,28,1,28.0,0,0,1,47374.0,26.0,140,0
1,35,1,28.0,1,1,0,34664.0,26.0,80,0
0,40,1,28.0,1,1,0,36922.0,124.0,169,0
1,68,1,28.0,1,1,0,63437.0,32.0,79,0
0,23,1,13.0,1,0,0,23879.0,152.0,253,0
1,44,1,28.0,0,2,1,33131.0,26.0,43,0
0,24,1,30.0,1,0,0,28493.0,152.0,96,0
1,48,1,28.0,0,1,1,41326.0,122.0,159,0
1,41,1,28.0,0,1,1,35500.0,14.0,299,0
1,35,1,28.0,1,1,0,33044.0,152.0,109,0
0,23,1,30.0,1,0,0,25927.0,152.0,215,0
1,23,1,4.0,1,0,0,31879.0,152.0,185,0
0,24,1,35.0,1,0,0,24847.0,152.0,19,0
0,34,1,45.0,0,1,1,34759.0,152.0,203,0
0,23,1,36.0,0,0,1,25760.0,152.0,164,0
0,68,1,12.0,0,2,1,2630.0,26.0,127,0
1,45,1,28.0,1,1,0,61756.0,26.0,122,0
0,26,1,28.0,1,0,0,37542.0,152.0,55,0
1,34,1,25.0,1,1,0,26299.0,152.0,10,0
0,35,1,28.0,1,1,0,40701.0,122.0,68,0
1,24,1,37.0,0,0,1,27960.0,152.0,82,0
0,25,1,45.0,1,0,0,28116.0,152.0,245,0
1,49,1,28.0,1,1,0,32715.0,30.0,159,0
1,31,1,28.0,1,0,0,76275.0,152.0,238,0
1,39,1,28.0,0,2,1,52050.0,26.0,140,0
0,72,1,28.0,1,1,0,89139.0,25.0,63,0
1,24,1,13.0,0,0,1,31453.0,152.0,35,0
1,26,1,30.0,1,0,0,21761.0,152.0,154,0
0,45,1,46.0,0,1,1,34213.0,11.0,195,0
0,37,1,12.0,0,1,0,32087.0,124.0,251,0
1,36,1,30.0,1,1,0,34913.0,152.0,42,0
1,46,1,8.0,0,1,1,2630.0,26.0,95,0
1,27,1,28.0,1,0,0,30276.0,152.0,123,0
1,28,1,46.0,1,0,0,19445.0,152.0,192,0
0,24,1,45.0,1,0,0,24210.0,151.0,150,0
1,40,1,28.0,1,1,0,32445.0,24.0,88,0
1,28,1,41.0,1,0,0,29987.0,152.0,241,0
1,24,1,9.0,1,0,0,30164.0,151.0,134,0
0,29,1,46.0,1,0,0,39827.0,152.0,158,0
1,30,1,28.0,1,0,0,2630.0,152.0,261,0
1,49,1,15.0,0,1,0,56446.0,26.0,194,0
1,50,1,28.0,0,1,0,43318.0,26.0,288,0
1,24,1,28.0,0,0,1,30379.0,152.0,53,0
1,46,1,46.0,1,1,0,34494.0,25.0,262,0
1,22,1,28.0,1,0,0,47059.0,152.0,222,0
0,42,1,46.0,1,1,0,30365.0,124.0,100,0
0,30,1,11.0,1,0,0,36190.0,152.0,88,0
1,39,1,28.0,1,1,0,27093.0,124.0,97,0
1,44,1,8.0,0,1,1,35301.0,124.0,179,1
0,22,1,19.0,0,0,0,40939.0,152.0,267,0
1,56,1,8.0,0,1,1,38062.0,124.0,45,0
1,29,1,28.0,1,0,0,41945.0,152.0,16,0
0,58,1,28.0,0,1,1,2630.0,26.0,200,0
1,23,1,33.0,0,0,1,38024.0,152.0,258,0
1,54,1,8.0,0,1,1,42572.0,26.0,139,0
0,25,1,41.0,1,0,0,33909.0,152.0,106,0
1,52,1,33.0,0,1,1,26420.0,26.0,137,0
0,25,1,33.0,1,0,0,30403.0,152.0,140,0
0,36,1,41.0,0,1,1,42088.0,152.0,101,0
0,21,1,43.0,1,0,0,33171.0,160.0,39,0
0,24,1,34.0,1,0,0,20798.0,152.0,49,0
0,25,1,8.0,1,0,1,2630.0,152.0,170,0
0,28,1,28.0,1,0,0,32080.0,152.0,22,0
0,43,1,36.0,0,1,0,2630.0,156.0,220,0
1,24,1,32.0,1,0,0,49499.0,152.0,239,0
1,25,1,35.0,1,0,0,27220.0,152.0,278,0
1,65,1,41.0,0,1,1,23405.0,115.0,248,0
0,23,1,30.0,1,0,0,27721.0,163.0,251,0
1,40,1,29.0,0,1,1,28202.0,124.0,225,0
1,57,1,28.0,1,1,0,26566.0,26.0,199,0
0,29,1,11.0,1,0,0,49181.0,152.0,143,0
1,78,1,28.0,1,1,0,50832.0,26.0,147,0
0,58,1,28.0,0,1,0,49894.0,124.0,148,0
0,26,1,27.0,0,0,1,31181.0,152.0,145,0
1,45,1,28.0,0,2,1,37697.0,124.0,206,0
1,40,1,3.0,0,1,0,2630.0,124.0,286,0
1,30,1,28.0,0,0,1,33696.0,122.0,55,0
0,21,1,15.0,1,0,0,37784.0,152.0,92,0
0,58,1,32.0,1,1,0,2630.0,26.0,269,0
1,57,1,28.0,0,1,1,2630.0,26.0,77,1
1,71,1,12.0,1,1,0,40296.0,26.0,275,0
1,20,1,28.0,0,1,1,2630.0,157.0,99,0
1,22,1,45.0,1,0,0,26998.0,152.0,144,0
0,39,1,7.0,0,1,1,2630.0,156.0,119,0
0,50,1,28.0,0,1,1,46503.0,122.0,73,0
1,36,1,8.0,0,1,1,37493.0,124.0,26,0
0,71,1,28.0,0,1,1,44073.0,122.0,254,0
1,43,1,19.0,0,1,1,2630.0,124.0,211,0
1,29,1,3.0,1,0,0,42909.0,152.0,272,0
1,54,1,1.0,1,1,0,2630.0,26.0,193,0
0,22,1,15.0,1,0,0,21922.0,152.0,123,0
1,24,1,8.0,1,0,0,39319.0,152.0,170,0
1,52,1,8.0,1,1,0,2630.0,26.0,281,0
1,25,1,41.0,0,0,0,21078.0,152.0,122,0
1,23,1,15.0,1,0,1,29431.0,160.0,92,0
1,32,1,8.0,1,0,0,32050.0,152.0,87,0
0,23,1,30.0,1,0,0,32945.0,152.0,75,0
1,65,1,18.0,1,1,0,36382.0,26.0,95,0
1,48,1,16.0,0,1,1,24354.0,156.0,75,1
1,20,1,39.0,1,0,0,45118.0,160.0,155,0
1,50,1,46.0,0,1,1,37497.0,11.0,236,0
0,52,1,28.0,0,1,1,50092.0,124.0,253,0
1,48,1,11.0,0,1,1,30744.0,124.0,245,0
0,59,1,8.0,0,1,0,2630.0,26.0,70,0
0,20,1,36.0,1,0,0,26921.0,160.0,144,0
1,23,1,3.0,1,0,0,18091.0,152.0,275,0
0,23,1,10.0,1,0,0,28541.0,152.0,160,0
1,65,1,28.0,1,1,0,38205.0,26.0,10,0
1,47,1,29.0,0,1,1,21096.0,4.0,280,0
1,23,1,34.0,1,0,0,30492.0,152.0,243,0
1,23,1,47.0,0,0,0,34337.0,152.0,149,0
0,47,1,48.0,1,1,0,2630.0,26.0,72,0
0,28,1,50.0,1,0,0,24162.0,160.0,54,0
1,28,1,15.0,1,0,0,38339.0,152.0,245,0
0,45,1,28.0,0,1,1,31578.0,124.0,180,0
1,42,1,1.0,0,1,1,2630.0,124.0,137,0
1,23,1,15.0,1,0,0,35927.0,152.0,156,0
1,63,1,29.0,1,1,1,2630.0,26.0,218,0
0,34,1,15.0,0,1,1,2630.0,160.0,178,0
1,35,1,20.0,0,1,1,2630.0,124.0,136,0
1,36,1,28.0,0,1,1,30143.0,124.0,298,0
1,49,1,28.0,0,1,1,65737.0,26.0,75,0
0,43,1,29.0,1,1,0,2630.0,152.0,63,0
1,22,1,47.0,1,0,0,27450.0,152.0,86,0
1,73,1,28.0,1,1,0,37099.0,26.0,268,0
0,40,1,15.0,1,1,0,2630.0,26.0,202,0
0,63,1,15.0,1,1,0,28519.0,122.0,63,0
1,23,1,6.0,1,0,0,19417.0,160.0,154,0
1,63,1,28.0,0,1,1,105148.0,122.0,164,0
0,24,1,28.0,1,0,0,58339.0,26.0,280,0
0,37,1,28.0,0,1,0,53565.0,26.0,83,0
0,60,1,8.0,0,1,1,42564.0,30.0,133,0
0,38,1,28.0,0,1,1,28775.0,125.0,287,0
0,22,1,41.0,0,0,1,45663.0,152.0,68,0
1,31,1,33.0,1,1,0,27025.0,124.0,211,0
1,24,1,30.0,0,0,0,29260.0,152.0,192,0
1,28,1,8.0,1,0,0,76847.0,152.0,293,0
0,63,1,46.0,0,1,1,2630.0,157.0,292,0
1,41,1,28.0,0,1,1,33057.0,163.0,188,0
1,51,1,31.0,0,1,1,2630.0,124.0,232,0
0,26,1,6.0,1,0,0,2630.0,152.0,197,0
0,22,1,45.0,1,0,0,32308.0,152.0,123,0
0,52,1,28.0,0,1,1,2630.0,122.0,81,0
1,40,1,3.0,0,1,1,35432.0,154.0,92,0
0,24,1,35.0,1,0,0,46815.0,152.0,225,0
1,50,1,28.0,1,1,0,28740.0,26.0,191,0
1,25,1,10.0,1,0,0,28472.0,152.0,148,0
1,63,1,21.0,0,1,1,27097.0,124.0,281,0
1,62,0,48.0,0,1,1,2630.0,124.0,284,0
0,25,1,2.0,1,0,0,31144.0,152.0,203,0
0,24,1,8.0,1,0,0,38318.0,152.0,198,0
1,25,1,47.0,1,0,0,43987.0,152.0,179,0
1,49,0,28.0,0,1,0,46999.0,26.0,165,0
0,23,1,12.0,1,0,0,30472.0,151.0,14,0
0,26,1,30.0,1,0,0,29798.0,152.0,249,0
0,53,1,47.0,1,1,0,27500.0,152.0,237,0
0,43,1,29.0,1,1,0,2630.0,157.0,72,0
1,49,1,28.0,0,2,1,41294.0,125.0,14,0
0,42,1,28.0,0,1,1,35435.0,157.0,44,0
0,29,1,35.0,1,0,1,2630.0,160.0,188,0
1,38,1,6.0,0,1,1,32457.0,163.0,292,0
0,23,1,12.0,0,0,1,30124.0,152.0,97,0
0,22,1,27.0,1,0,0,24281.0,152.0,43,0
0,22,1,2.0,0,0,1,26108.0,152.0,30,0
1,30,1,18.0,0,0,1,29853.0,152.0,85,0
0,71,1,3.0,0,1,1,32090.0,124.0,264,0
0,23,1,7.0,0,0,1,2630.0,26.0,184,0
0,52,1,28.0,1,1,0,37810.0,26.0,83,0
1,29,1,2.0,0,1,1,33567.0,154.0,80,0
1,30,1,28.0,1,0,0,43425.0,152.0,10,0
1,25,1,50.0,1,0,0,31860.0,152.0,205,0
0,23,1,36.0,0,0,1,33243.0,152.0,140,0
0,38,1,34.0,0,1,1,36248.0,124.0,49,0
0,22,1,9.0,1,0,0,35237.0,160.0,282,0
0,23,1,36.0,0,0,1,27074.0,152.0,77,0
1,53,1,28.0,0,1,1,33893.0,26.0,96,0
1,44,1,28.0,0,1,1,28623.0,124.0,188,0
1,46,1,31.0,0,1,1,2630.0,124.0,129,0
1,24,1,47.0,1,0,0,36061.0,152.0,127,0
0,27,1,35.0,1,0,0,38764.0,152.0,275,0
1,25,1,6.0,1,0,0,22913.0,152.0,132,0
1,70,1,28.0,0,1,1,43092.0,26.0,17,0
0,37,1,28.0,1,1,0,67754.0,26.0,245,0
1,23,1,36.0,0,0,0,44613.0,152.0,94,0
1,68,1,28.0,1,1,0,23394.0,13.0,116,0
0,23,1,46.0,1,0,0,25984.0,152.0,26,0
0,22,1,47.0,1,0,0,33639.0,152.0,249,0
1,24,1,28.0,0,0,1,45242.0,124.0,55,0
1,24,1,30.0,1,0,0,25368.0,152.0,35,0
0,29,1,11.0,1,0,0,25734.0,152.0,53,0
1,23,1,47.0,1,0,0,2630.0,151.0,131,0
0,22,1,8.0,0,0,1,40623.0,152.0,143,0
1,23,1,8.0,0,0,0,44006.0,152.0,173,0
0,22,1,46.0,1,0,0,25956.0,152.0,264,0
0,43,1,37.0,1,1,0,36411.0,153.0,216,0
